symbol,date,type,value,message
GOOGL,2025-04-04,HIGH_VOLUME,62259500.0,"Volume anormalement élevé: 62,259,500"
GOOGL,2025-04-07,HIGH_VOLUME,76794100.0,"Volume anormalement élevé: 76,794,100"
GOOGL,2025-04-09,HIGH_VOLUME,70406200.0,"Volume anormalement élevé: 70,406,200"
GOOGL,2025-05-07,HIGH_VOLUME,127490100.0,"Volume anormalement élevé: 127,490,100"
GOOGL,2025-05-21,HIGH_VOLUME,73416000.0,"Volume anormalement élevé: 73,416,000"
GOOGL,2025-05-22,HIGH_VOLUME,74864400.0,"Volume anormalement élevé: 74,864,400"
GOOGL,2025-06-10,HIGH_VOLUME,61766100.0,"Volume anormalement élevé: 61,766,100"
GOOGL,2025-06-20,HIGH_VOLUME,75659900.0,"Volume anormalement élevé: 75,659,900"
GOOGL,2025-06-27,HIGH_VOLUME,108140200.0,"Volume anormalement élevé: 108,140,200"
GOOGL,2025-06-30,HIGH_VOLUME,63378900.0,"Volume anormalement élevé: 63,378,900"
GOOGL,2025-07-23,HIGH_VOLUME,58681900.0,"Volume anormalement élevé: 58,681,900"
GOOGL,2025-07-24,HIGH_VOLUME,74881700.0,"Volume anormalement élevé: 74,881,700"
GOOGL,2025-09-03,HIGH_VOLUME,103336100.0,"Volume anormalement élevé: 103,336,100"
GOOGL,2025-09-15,HIGH_VOLUME,58383800.0,"Volume anormalement élevé: 58,383,800"
GOOGL,2025-10-30,HIGH_VOLUME,74876000.0,"Volume anormalement élevé: 74,876,000"
GOOGL,2024-02-26,EXTREME_MOVE,-4.438738015128807,Mouvement de prix extrême: -4.44%
GOOGL,2024-03-18,EXTREME_MOVE,4.604039941255822,Mouvement de prix extrême: 4.60%
GOOGL,2024-04-26,EXTREME_MOVE,10.22436802130795,Mouvement de prix extrême: 10.22%
GOOGL,2024-07-24,EXTREME_MOVE,-5.038789399955867,Mouvement de prix extrême: -5.04%
GOOGL,2024-08-05,EXTREME_MOVE,-4.446170269367123,Mouvement de prix extrême: -4.45%
GOOGL,2024-09-06,EXTREME_MOVE,-4.0193479627251065,Mouvement de prix extrême: -4.02%
GOOGL,2024-11-06,EXTREME_MOVE,3.9884466601578517,Mouvement de prix extrême: 3.99%
GOOGL,2024-11-21,EXTREME_MOVE,-4.744840946399032,Mouvement de prix extrême: -4.74%
GOOGL,2024-12-10,EXTREME_MOVE,5.588196269106205,Mouvement de prix extrême: 5.59%
